PROV_CODE,PROV_NAM_T,Province_E,REGI_NAM_T,grid_id,grid_area,TMD_Region
20,ชลบุรี,Chonburi,ตะวันออก,1266,247564763.687112,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1304,67157206.1735262,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1305,476453840.183215,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1306,44928511.7224374,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1307,58354782.4377895,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1343,34807051.4205406,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1344,581287962.987067,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1345,597470721.158391,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1346,586039110.691445,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1347,167232907.590226,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1382,3370535.55132736,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1383,436926948.784445,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1384,579277349.390297,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1385,336979144.955697,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1386,2860570.42180325,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1422,47789120.1107482,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1423,109756475.733328,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1228,2452003.10327738,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1229,31125288.163193,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1230,631066.618193427,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1266,278416484.121615,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1267,538517503.468976,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1268,595656420.645308,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1269,445057606.02467,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1270,3672449.27674756,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1305,119171459.908594,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1306,556278838.135441,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1307,542852567.420815,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1308,455787103.788965,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1309,431401.369286586,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1345,2663149.77347786,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1346,14094744.2830831,ตะวันออก
21,ระยอง,Rayong,ตะวันออก,1347,89074080.5663837,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1193,104349664.134832,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1194,98051241.9627596,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1231,187456021.313175,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1232,557535581.472706,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1233,186897980.181746,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1269,24098378.537249,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1270,585290432.128074,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1271,602265177.219156,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1272,476953219.795906,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1273,28904946.052327,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1308,145418917.584252,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1309,600775948.486198,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1310,601207349.85546,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1311,579757885.687862,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1312,7558926.04098477,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1347,172985491.613911,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1348,531285006.60369,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1349,535519416.876855,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1350,314021438.051911,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1387,17331628.2240662,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1388,21549786.1764718,ตะวันออก
22,จันทบุรี,Chanthaburi,ตะวันออก,1389,5216247.11833566,ตะวันออก
23,ตราด,Trat,ตะวันออก,1078,110949201.629135,ตะวันออก
23,ตราด,Trat,ตะวันออก,1079,9848514.91331098,ตะวันออก
23,ตราด,Trat,ตะวันออก,1116,20584247.9635837,ตะวันออก
23,ตราด,Trat,ตะวันออก,1117,5652015.0992168,ตะวันออก
23,ตราด,Trat,ตะวันออก,1118,61198506.0567094,ตะวันออก
23,ตราด,Trat,ตะวันออก,1154,7715243.08847547,ตะวันออก
23,ตราด,Trat,ตะวันออก,1155,254008081.056581,ตะวันออก
23,ตราด,Trat,ตะวันออก,1156,155061896.974605,ตะวันออก
23,ตราด,Trat,ตะวันออก,1157,37445801.9553697,ตะวันออก
23,ตราด,Trat,ตะวันออก,1193,3126143.80086986,ตะวันออก
23,ตราด,Trat,ตะวันออก,1194,495222272.015261,ตะวันออก
23,ตราด,Trat,ตะวันออก,1195,582376451.82771,ตะวันออก
23,ตราด,Trat,ตะวันออก,1196,16778949.5686731,ตะวันออก
23,ตราด,Trat,ตะวันออก,1233,416406575.147477,ตะวันออก
23,ตราด,Trat,ตะวันออก,1234,505750633.254016,ตะวันออก
23,ตราด,Trat,ตะวันออก,1235,32722765.9722092,ตะวันออก
23,ตราด,Trat,ตะวันออก,1272,125138044.633941,ตะวันออก
23,ตราด,Trat,ตะวันออก,1273,30259103.1844452,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1347,170840049.093121,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1348,56343754.9580383,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1382,27459521.9530285,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1383,73118603.0701554,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1384,19767426.7260503,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1385,262065631.127739,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1386,596182881.990236,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1387,344382709.219577,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1421,52506039.4584402,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1422,520687604.393193,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1423,488182363.291193,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1424,597938839.030941,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1425,587241848.077147,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1426,108256908.206311,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1460,26101994.8925761,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1461,591094042.630095,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1462,379237080.98995,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1463,198792150.364237,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1464,38827840.0028905,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1499,289991.812376526,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1500,44465544.299818,ตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ตะวันออก,1501,575774.698571623,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1425,10695669.6937366,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1426,162963627.004062,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1461,365675.534413735,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1462,217583126.377228,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1463,398028057.003592,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1464,557991048.573738,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1465,281938076.408797,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1500,1050772.82192592,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1501,337071859.356419,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1502,595684888.711358,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1503,595683572.431851,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1504,503376912.987913,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1505,70612189.0352572,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1540,10426586.5687219,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1541,402022745.17978,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1542,504479112.646235,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1543,284750238.023521,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1544,1050693.00323872,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1580,91059348.5220761,ตะวันออก
25,ปราจีนบุรี,Prachinburi,ตะวันออก,1581,17759901.1091892,ตะวันออก
26,นครนายก,Nakhon Nayok,กลาง,1499,5453304.10450339,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1500,550177785.554953,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1501,258037254.656657,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1538,1131783.76373332,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1539,410549818.628787,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1540,558311257.483868,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1541,191488992.538175,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1578,3456951.20047454,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1579,155438040.107607,กลาง
26,นครนายก,Nakhon Nayok,กลาง,1580,13914239.1256,กลาง
27,สระแก้ว,Srakaeo,ตะวันออก,1348,12505093.415172,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1349,64614438.094498,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1350,8978355.44810365,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1387,237330438.672571,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1388,577494989.939706,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1389,213609574.081605,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1426,326718303.820929,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1427,597938839.030843,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1428,496704971.381776,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1429,160841487.532335,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1465,314882130.957045,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1466,596820207.366834,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1467,596818888.578798,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1468,577910417.418323,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1469,76742058.3858058,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1504,92307975.724256,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1505,472334694.609643,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1506,500709529.490673,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1507,527823944.754391,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1508,413815623.979263,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1544,6500428.78273433,ตะวันออก
27,สระแก้ว,Srakaeo,ตะวันออก,1547,162754.801756477,ตะวันออก
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1505,52738005.0663631,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1506,67284714.4832513,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1541,1019883.39345186,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1542,90051194.7244896,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1543,309781383.079668,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1544,586980494.842564,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1545,582181426.58126,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1546,241255590.534681,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1579,257143518.384398,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1580,488392331.04699,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1581,575604706.433738,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1582,593365918.698106,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1583,593365918.698073,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1584,575002808.470893,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1585,114581470.869814,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1618,287608605.329693,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1619,584702134.754437,ตะวันออกเฉียงเหนือ
30,นครราชสีมา,Nakhon Ratchasima,ตะวันออกเ*,1620,592185199.952679,ตะวันออกเฉียงเหนือ
